Date,Latitude,Longitude,Humidity,Rainfall,Soil_Moisture,Flood_Occurred,Elevation,Slope,Water_Occurrence_Percent,Max_Temp,Population,Population_Density,Sex_Ratio
2000-01-01 00:00:00,27.5,90,70.9,0,0.64,0,1629,25.94370205,0,24.57,1127967.22,522.1263104,903.6848417
2000-01-03 00:00:00,27.5,92.5,60.3,0,0.73,0,2260,20.43461613,0,22.18,1228767.339,425.0428688,838.8990479
2000-01-03 00:00:00,26,93.75,50.05,0,0.6,0,159,2.121724521,0,24.37,1132101.997,322.5579957,863.0176521
2000-01-04 00:00:00,25.5,91.25,68.03,0,0.79,0,1294,11.03859333,0,23.57,1141731.838,522.8958402,865.4413677
2000-01-04 00:00:00,27,91.875,50.75,0,0.66,0,1155,47.25759815,0,20.73,1053941.974,502.6156764,845.1698758
2000-01-04 00:00:00,24.5,93.75,44.86,0,0.5,0,778,1.854334169,0,23.83,1075435.087,388.9438608,781.1472208
2000-01-04 00:00:00,27,93.125,54.83,0,0.63,0,379,26.97429045,0,23.07,1494708.462,387.2684822,881.2457454
2000-01-06 00:00:00,27,92.5,57.8,0,0.69,0,783,4.246396165,0,21.89,1342989.106,415.6656905,838.5157949
2000-01-06 00:00:00,25,95,20.29,0,0.21,0,123,0,96,21.5,1049132.258,356.9621549,789.3135905
2000-01-07 00:00:00,24,91.875,50.38,0,0.48,0,105,5.388686904,0,24.39,1062209.19,493.6408864,864.2038308
2000-01-07 00:00:00,26.5,93.125,57.71,0,0.61,0,357,29.73943278,0,18.98,1742209.673,423.7755648,896.8081468
2000-01-07 00:00:00,25,91.25,57.43,0,0.65,0,7,1.023264216,57,23.46,1122552.932,504.5283409,851.6735481
2000-01-09 00:00:00,25,95,23.24,0,0.21,0,123,0,96,19.51,1049132.258,356.9621549,789.3135905
2000-01-09 00:00:00,28,91.875,81.89,0,0.62,0,4980,8.34830072,0,21.56,1140527.213,462.4653679,846.0336664
2000-01-09 00:00:00,24.5,90,62.55,0,0.49,0,31,2.238466933,0,21.68,1179350.881,533.5696245,877.3101227
2000-01-10 00:00:00,26,93.125,65.47,0,0.58,0,116,4.965499387,0,22.99,1072622.568,150.1708507,928.7088907
2000-01-11 00:00:00,25.5,90,63.89,0,0.56,0,90,14.09969849,0,25.42,1363203.105,641.3670151,923.1213404
2000-01-11 00:00:00,27,91.875,56.78,0,0.65,0,1155,47.25759815,0,24.23,1053941.974,502.6156764,845.1698758
2000-01-12 00:00:00,26.5,95,59.2,0,0.55,0,1363,17.77529035,0,21.29,801932.2369,260.6589194,647.2921686
2000-01-12 00:00:00,25,94.375,54.18,0,0.45,0,896,29.92813998,0,24.3,1059131.652,358.1092767,780.8804119
2000-01-13 00:00:00,27,91.25,64.54,0,0.68,0,1597,8.352400023,0,24.22,1108121.476,580.8608837,894.2881302
2000-01-13 00:00:00,27.5,92.5,75.46,0,0.72,0,2260,20.43461613,0,24.67,1228767.339,425.0428688,838.8990479
2000-01-14 00:00:00,27,91.25,70.89,0,0.68,0,1597,8.352400023,0,23.34,1108121.476,580.8608837,894.2881302
2000-01-14 00:00:00,24,95.625,34.89,0,0.18,0,918,18.02027076,0,24.91,1062952.598,378.8137773,799.734522
2000-01-15 00:00:00,27.5,91.875,84.6,0,0.68,0,3696,35.20221739,0,27.02,1129097.251,477.5735799,844.217289
2000-01-16 00:00:00,27,90.625,51.77,0,0.7,0,1630,27.03129584,0,22.93,1097549.765,571.529636,922.2945847
2000-01-17 00:00:00,28,90.625,46.12,0,0.69,0,5178,2.130776922,0,26.29,1127792.091,511.4617388,878.3836408
2000-01-18 00:00:00,24,93.75,42.51,0,0.36,0,951,23.6908634,0,26.11,1075727.19,411.3530818,806.9925776
2000-01-18 00:00:00,25,91.875,66.87,0,0.67,0,12,0,1,25.49,1096733.448,491.7526579,834.8765302
2000-01-19 00:00:00,25.5,92.5,73.1,0,0.73,0,1059,15.38648349,0,30.17,947206.029,335.20683,642.6892627
2000-01-20 00:00:00,24.5,95.625,29.05,0,0.18,0,254,2.780288516,0,30.18,1054400.039,368.0582633,795.4292991
2000-01-20 00:00:00,26,93.125,62.76,0,0.56,0,116,4.965499387,0,31.83,1072622.568,150.1708507,928.7088907
2000-01-22 00:00:00,24,92.5,65.6,0,0.46,0,710,8.858060458,0,29.76,974842.0836,490.1337217,887.2733302
2000-01-23 00:00:00,27,90.625,72.33,0,0.69,0,1630,27.03129584,0,29.98,1097549.765,571.529636,922.2945847
2000-01-23 00:00:00,26.5,90.625,72.88,0,0.69,0,55,3.615646683,3,29.62,793251.0798,666.2383901,962.5952955
2000-01-24 00:00:00,26,95.625,55.18,0,0.3,0,243,21.36966497,0,30.66,979432.3765,319.9885263,761.7332066
2000-01-25 00:00:00,26.5,95.625,57.07,0,0.55,0,508,25.27460043,0,30.54,939225.6032,297.176187,734.7904717
2000-01-25 00:00:00,25,95,47.19,0,0.21,0,123,0,96,29.24,1049132.258,356.9621549,789.3135905
2000-01-26 00:00:00,27.5,90,79.99,0,0.63,0,1629,25.94370205,0,26.2,1127967.22,522.1263104,903.6848417
2000-01-26 00:00:00,25.5,90,71.21,0,0.51,0,90,14.09969849,0,28.54,1363203.105,641.3670151,923.1213404
2000-01-28 00:00:00,27,91.25,61.82,0,0.67,0,1597,8.352400023,0,27.58,1108121.476,580.8608837,894.2881302
2000-01-29 00:00:00,25,94.375,66.36,0,0.54,0,896,29.92813998,0,31.12,1059131.652,358.1092767,780.8804119
2000-01-29 00:00:00,27.5,96.25,63.94,0,0.56,0,261,8.306405605,0,31.36,1141581.036,332.712808,861.0230468
2000-01-30 00:00:00,27.5,93.75,77.19,0,0.69,0,1170,5.644002829,0,35.76,1071672.728,378.8323744,874.7555022
2000-01-30 00:00:00,26,91.875,71,0,0.73,0,335,11.18729467,0,33.39,1034089.844,417.3090319,734.1350662
2000-01-31 00:00:00,26,90,75.28,0,0.59,0,37,3.460128429,27,31.26,1925514.597,885.3850676,952.4359096
2000-01-31 00:00:00,24,91.25,57.35,0,0.43,0,6,0.927409937,22,30.78,1102195.127,489.5787028,851.7670202
2000-02-01 00:00:00,27.5,95.625,55.17,0,0.57,0,148,6.36190334,0,25.81,1312417.022,348.0507931,944.655628
2000-02-01 00:00:00,24,91.875,45.51,0,0.43,0,105,5.388686904,0,28.64,1062209.19,493.6408864,864.2038308
2000-02-02 00:00:00,27.5,89.375,90.69,0,0.65,0,3572,14.07258076,0,28.19,1152630.309,521.487739,899.6121491
2000-02-03 00:00:00,24,91.875,70.74,0,0.43,0,105,5.388686904,0,26.4,1062209.19,493.6408864,864.2038308
2000-02-03 00:00:00,24.5,90.625,68.9,0,0.42,0,14,1.377826843,0,24.96,1145969.809,516.3333924,865.7935515
2000-02-04 00:00:00,27.5,93.75,80.1,0,0.69,0,1170,5.644002829,0,33.46,1071672.728,378.8323744,874.7555022
2000-02-05 00:00:00,26.5,96.25,46.72,0,0.37,0,240,5.545809412,0,31.34,1019675.236,323.8399696,788.1767758
2000-02-05 00:00:00,26,93.125,67.96,0,0.56,0,116,4.965499387,0,30.29,1072622.568,150.1708507,928.7088907
2000-02-07 00:00:00,26,90.625,80.68,0,0.71,0,58,3.228316007,0,33.21,1011267.679,554.1086509,963.327597
2000-02-08 00:00:00,28,92.5,81.73,0,0.7,0,5641,27.31138262,0,29.16,1168725.607,424.8545679,839.5896161
2000-02-08 00:00:00,27.5,94.375,71.32,0,0.59,0,103,0.927409937,0,26.76,874235.9715,300.613515,856.7858962
2000-02-10 00:00:00,26,93.75,54.53,0,0.58,0,159,2.121724521,0,31.89,1132101.997,322.5579957,863.0176521
2000-02-10 00:00:00,28,90,54.35,0,0.66,0,3996,30.30639478,0,29.34,1133995.316,513.0941557,886.4215478
2000-02-11 00:00:00,24,95,34.98,0,0.21,0,347,5.530985127,0,31.27,1066896.571,383.8326429,798.3023043
2000-02-11 00:00:00,26,93.125,51.65,0,0.55,0,116,4.965499387,0,31.12,1072622.568,150.1708507,928.7088907
2000-02-11 00:00:00,28,91.875,76.06,0,0.6,0,4980,8.34830072,0,31.1,1140527.213,462.4653679,846.0336664
2000-02-13 00:00:00,25.5,92.5,74.92,0,0.71,0,1059,15.38648349,0,32.07,947206.029,335.20683,642.6892627
2000-02-15 00:00:00,25,94.375,40.41,0,0.41,0,896,29.92813998,0,31.3,1059131.652,358.1092767,780.8804119
2000-02-18 00:00:00,24.5,91.875,45.89,0,0.44,0,16,2.037668866,0,28.11,1087477.003,520.2101742,873.6419951
2000-02-18 00:00:00,25,94.375,40.12,0,0.4,0,896,29.92813998,0,28.13,1059131.652,358.1092767,780.8804119
